Instancia,Nodos,Variables,Restricciones,Tiempo_s,Gap_Porcentaje,Funcion_Objetivo
br17.atsp,17,305,274,0.36,0.0,39.0
ftv33.atsp,34,1189,1124,0.37,0.0,1286.0
ftv55.atsp,56,3191,3082,9.09,0.0,1608.0
ftv64.atsp,65,4289,4162,6.47,0.0,1839.0
ftv70.atsp,71,5111,4972,18.78,0.0,1950.0
kro124p.atsp,100,10099,9902,17.78,0.0,36230.0
ftv170.atsp,171,29411,29072,177.9,0.0,2755.0
rbg323.atsp,323,104651,104008,73.9,0.0,1326.0
rbg358.atsp,358,128521,127808,63.49,0.0,1163.0
rbg403.atsp,403,162811,162008,113.25,0.0,2465.0
